Province,1,2,3,4,5,6,7,8,9,10
MAN,1,4,2,5,12,8,6,3,27,14
SD,1,4,2,5,12,8,6,3,13,11
BJ,1,4,2,5,8,6,3,12,14,11
HEB,1,4,2,5,8,6,3,12,11,15
SX,1,4,2,5,8,6,15,3,14,11
MON,1,4,2,5,8,6,15,12,14,3
TJ,1,4,2,5,6,8,3,12,14,11
HEN,1,4,2,5,6,8,3,15,12,11
SW,1,4,2,5,6,8,3,14,11,15
GS,1,4,2,5,6,8,3,11,7,12
NX,1,4,2,5,6,3,8,9,11,12
XJ,1,4,2,5,6,3,8,7,11,12
AH,1,4,2,5,3,6,9,13,7,16
JS,1,4,3,2,5,13,16,7,6,9
QH,2,4,1,5,8,6,3,11,15,9
HUB,2,4,1,5,3,6,7,10,17,9
CQ,2,4,3,5,1,6,7,10,18,21
SC,2,1,4,5,3,6,10,7,18,24
GUI,2,1,4,3,5,6,7,9,18,10
HUN,2,5,3,4,1,7,10,6,21,18
YUN,2,6,4,1,3,5,8,7,9,10
JX,5,2,3,4,10,1,9,7,17,13
SH,4,1,3,2,16,13,7,25,9,23
ZJ,3,1,4,13,2,9,7,16,10,19
FJ,3,19,10,4,9,1,2,22,5,6
GD,3,10,2,19,4,5,20,9,6,1
HAN,3,1,2,9,26,19,10,4,7,22
GX,10,2,3,20,6,5,4,9,18,23
